codigo;nome;ente_codigo;municipio_codigo;uf_codigo
10001;PREFEITURA MUNICIPAL DE MÂNCIO LIMA;600;;
10002;CÂMARA MUNICIPAL DE MÂNCIO LIMA;600;;
10003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - MÂNCIO LIMA;600;;
10004;FUNDO MUNICIPAL DE SAÚDE - FMS - MÂNCIO LIMA;600;;
1001;PREFEITURA MUNICIPAL DE ACRELÂNDIA;500;;
1002;CÂMARA MUNICIPAL DE ACRELÂNDIA;500;;
1003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - ACRELÂNDIA;500;;
1004;FUNDO MUNICIPAL DE SAÚDE - FMS - ACRELÂNDIA;500;;
11001;PREFEITURA MUNICIPAL DE MANOEL URBANO;900;;
11002;CÂMARA MUNICIPAL DE MANOEL URBANO;900;;
11003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - MANOEL URBANO;900;;
11004;FUNDO MUNICIPAL DE SAÚDE - FMS - MANOEL URBANO;900;;
12001;PREFEITURA MUNICIPAL DE MARECHAL THAUMATURGO;1600;;
12002;CÂMARA MUNICIPAL DE MARECHAL THAUMATURGO;1600;;
12003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - MARECHAL THAUMATURGO;1600;;
12004;FUNDO MUNICIPAL DE SAÚDE - FMS - MARECHAL THAUMATURGO;1600;;
13001;PREFEITURA MUNICIPAL DE PLÁCIDO DE CASTRO;1700;;
13002;CÂMARA MUNICIPAL DE PLÁCIDO DE CASTRO;1700;;
13003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - PLÁCIDO DE CASTRO;1700;;
13004;FUNDO MUNICIPAL DE SAÚDE - FMS - PLÁCIDO DE CASTRO;1700;;
14001;PREFEITURA MUNICIPAL DE PORTO ACRE;400;;
14002;CÂMARA MUNICIPAL DE PORTO ACRE;400;;
14003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - PORTO ACRE;400;;
14004;FUNDO MUNICIPAL DE SAÚDE - FMS - PORTO ACRE;400;;
15001;PREFEITURA MUNICIPAL DE PORTO WALTER;300;;
15002;CÂMARA MUNICIPAL DE PORTO WALTER;300;;
15003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - PORTO WALTER;300;;
15004;FUNDO MUNICIPAL DE SAÚDE - FMS - PORTO WALTER;300;;
16001;PREFEITURA MUNICIPAL DE RIO BRANCO;200;;
16002;CÂMARA MUNICIPAL DE RIO BRANCO;200;;
16003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - RIO BRANCO;200;;
16005;FUNDO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - FMDCA;200;;
16006;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;200;;
16007;SERVIÇOS DE ÁGUA E ESGOTO DE RIO BRANCO - SAERB;200;;
16008;SUPERINTENDÊNCIA MUNICIPAL DE TRANSPORTE E TRÂNSITO - RBTRANS;200;;
16010;EMPRESA MUNICIPAL DE URBANIZAÇÃO DE RIO BRANCO - EMURB;200;;
16011;"FUNDAÇÃO MUNICIPAL DE CULTURA, ESPORTE E LAZER GARIBALDI BRASIL – FGB";200;;
16012;FUNDO MUNICIPAL DE ESPORTE E LAZER - FMEL;200;;
16013;FUNDO MUNICIPAL DE MEIO AMBIENTE;200;;
16014;FUNDO MUNICIPAL DE CULTURA;200;;
16016;FUNDO MUNICIPAL DE SAÚDE - FMS - RIO BRANCO;200;;
16017;FUNDO FINANCEIRO - FFIN;200;;
16018;FUNDO PREVIDENCIÁRIO - FPREV;200;;
16019;FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL - FMHIS;200;;
16022;INSTITUTO DE PREVIDÊNCIA DO MUNICIPIO DE RIO BRANCO - RBPREV;200;;
16023;CONTROLADORIA GERAL DO MUNICIPIO - CGM - PMRB;200;;
16024;PROCURADORIA GERAL DO MUNICIPIO - PROJURI - PMRB;200;;
16028;SECRETARIA MUNICIPAL DE SAÚDE - SEMSA - PMRB;200;;
16030;SECRETARIA MUNICIPAL DE EDUCAÇÃO - SEME - PMRB;200;;
16033;SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SEMEIA - PMRB;200;;
16034;SECRETARIA MUNICIPAL DA CIDADE- SMC;200;;
16035;SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E POLÍTICAS AFIRMATIVAS - SEDHPA - PMRB;200;;
16036;SECRETARIA MUNICIPAL DE ESPORTE E LAZER - SEMEL - PMRB;200;;
16037;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS – SASDH;200;;
16039;INSTITUTO DE TECNOLOGIA DA INFORMAÇÃO E INOVAÇÃO DO MUNICÍPIO DE RIO BRANCO;200;;
16040;FUNDO ORÇAMENTÁRIO ESPECIAL DA PROCURADORIA DO MUNICÍPIO;200;;
16041;FUNDO ESPECIAL DA CÂMARA MUNICIPAL DE RIO BRANCO – FECRB;200;;
17001;PREFEITURA MUNICIPAL DE RODRIGUES ALVES;1800;;
17002;CÂMARA MUNICIPAL DE RODRIGUES ALVES;1800;;
17003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - RODRIGUES ALVES;1800;;
17004;FUNDO MUNICIPAL DE SAÚDE - FMS - RODRIGUES ALVES;1800;;
18001;PREFEITURA MUNICIPAL DE SANTA ROSA DO PURUS;1900;;
18002;CÂMARA MUNICIPAL DE SANTA ROSA DO PURUS;1900;;
18003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - SANTA ROSA DO PURUS;1900;;
18004;FUNDO MUNICIPAL DE SAÚDE - FMS - SANTA ROSA DO PURUS;1900;;
19001;PREFEITURA MUNICIPAL DE SENA MADUREIRA;2000;;
19002;CÂMARA MUNICIPAL DE SENA MADUREIRA;2000;;
19003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - SENA MADUREIRA;2000;;
19004;FUNDO MUNICIPAL DE SAÚDE - FMS - SENA MADUREIRA;2000;;
20001;PREFEITURA MUNICIPAL DE SENADOR GUIOMARD;2100;;
20002;CÂMARA MUNICIPAL DE SENADOR GUIOMARD;2100;;
20003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - SENADOR GUIOMARD;2100;;
20004;FUNDO MUNICIPAL DE SAÚDE - FMS - SENADOR GUIOMARD;2100;;
2001;PREFEITURA MUNICIPAL DE ASSIS BRASIL;800;;
2002;CÂMARA MUNICIPAL DE ASSIS BRASIL;800;;
2003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - ASSIS BRASIL;800;;
2004;FUNDO MUNICIPAL DE SAÚDE - FMS - ASSIS BRASIL;800;;
21001;PREFEITURA MUNICIPAL DE TARAUACÁ;2200;;
21002;CÂMARA MUNICIPAL DE TARAUACÁ;2200;;
21003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - TARAUACÁ;2200;;
21004;FUNDO MUNICIPAL DE SAÚDE - FMS - TARAUACÁ;2200;;
22001;PREFEITURA MUNICIPAL DE XAPURI;2300;;
22002;CÂMARA MUNICIPAL DE XAPURI;2300;;
22003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - XAPURI;2300;;
22004;FUNDO MUNICIPAL DE SAÚDE - FMS - XAPURI;2300;;
23001;ASSEMBLÉIA LEGISLATIVA DO ESTADO DO ACRE;100;;
23002;TRIBUNAL DE CONTAS DO ESTADO DO ACRE;100;;
23003;TRIBUNAL DE JUSTICA DO ESTADO DO ACRE;100;;
23004;MINISTERIO PUBLICO DO ESTADO DO ACRE;100;;
23005;SECRETARIA DE GOVERNO;100;;
23006;SECRETARIA DE ESTADO DA CASA CIVIL;100;;
23007;CASA MILITAR;100;;
23008;CONTROLADORIA GERAL DO ESTADO;100;;
23009;OUVIDORIA GERAL DO ESTADO;100;;
23010;GABINETE DO VICE-GOVERNADOR;100;;
23011;PROCURADORIA GERAL DO ESTADO;100;;
23012;DEFENSORIA PUBLICA DO ESTADO DO ACRE;100;;
23013;POLÍCIA MILITAR DO ESTADO DO ACRE - PMAC;100;;
23014;CORPO DE BOMBEIRO MILITAR DO ESTADO DO ACRE - CBMAC;100;;
23015;SECRETARIA DE ESTADO DE COMUNICAÇÃO - SECOM;100;;
23016;SECRETARIA DE ESTADO DE PLANEJAMENTO - SEPLAN (ANTIGA SEPLAN);100;;
23017;SECRETARIA DE ESTADO DE ADMINISTRAÇÃO – SEAD (ANTIGA SEPLAG);100;;
23018;SECRETARIA DE ESTADO DA FAZENDA - SEFAZ;100;;
23019;SECRETARIA DE ESTADO DE EDUCAÇÃO E ESPORTE - SEE;100;;
23020;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA – SEJUSP;100;;
23021;SECRETARIA DE ESTADO DE MEIO AMBIENTE - SEMA;100;;
23022;SECRETARIA DE ESTADO DE SAÚDE - SESACRE;100;;
23023;SECRETARIA DE ASSISTÊNCIA SOCIAL;100;;
23024;SECRETARIA DE FLORESTA;100;;
23025;SECRETARIA DE ESTADO DE AGROPECUÁRIA - SEAP;100;;
23026;SECRETARIA DE ESTADO DE ARTICULAÇÃO INSTITUCIONAL - SAI;100;;
23027;SECRETARIA DE ESTADO DE TURISMO E LAZER - SETUL;100;;
23028;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO FLORESTAL, DA INDÚSTRIA, DO COMÉRCIO E DOS SERVIÇOS SUSTENTÁVEIS - SEDENS";100;;
23029;SECRETARIA DE ESTADO DE AGRICULTURA - SEAGRI;100;;
23030;SECRETARIA DE ESTADO DE OBRAS PÚBLICAS - SEOP;100;;
23031;SECRETARIA DE ESTADO DE JUSTIÇA E DIREITOS HUMANOS - SEJUDH;100;;
23032;SECRETARIA DE ESTADO DE HABITAÇÃO DE INTERESSE SOCIAL - SEHAB;100;;
23033;SECRETARIA EXTRAORDINÁRIA DE AÇÕES SÓCIOEDUCATIVA;100;;
23034;POLICIA CIVIL DO ESTADO DO ACRE - PCAC;100;;
23035;"DEPARTAMENTO DE ESTRADAS DE RODAGEM, INFRAESTRUTURA HIDROVIÁRIA E AEROPORTUÁRIA DO ACRE - DERACRE";100;;
23036;INSTITUTO DE MEIO AMBIENTE DO ACRE - IMAC;100;;
23037;SERVIÇO DE AGUA E ESGOTO DO ESTADO DO ACRE - SANEACRE;100;;
23038;DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN;100;;
23039;JUNTA COMERCIAL DO ESTADO DO ACRE - JUCEAC;100;;
23040;INSTITUTO DE TERRAS DO ACRE - ITERACRE;100;;
23041;INSTITUTO DE DEFESA AGROPECUÁRIA E FLORESTAL DO ESTADO DO ACRE - IDAF;100;;
23042;INSTITUTO DE ADMINISTRAÇÃO PENITENCIÁRIA- IAPEN;100;;
23043;AGÊNCIA REGULADORA DE SERVIÇOS PÚBLICOS DO ESTADO DO ACRE - AGEAC;100;;
23044;INSTITUTO DE PREVIDÊNCIA DO ESTADO DO ACRE - ACREPREVIDÊNCIA;100;;
23045;INSTITUTO ESTADUAL DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - IEPTEC;100;;
23046;INSTITUTO SÓCIOEDUCATIVO DO ESTADO DO ACRE - ISE;100;;
23047;INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO ACRE - IPEM;100;;
23048;INSTITUTO DE MUDANÇAS CLIMÁTICAS E REGULAÇÃO DE SERVIÇOS AMBIENTAIS - IMC;100;;
23049;FUNDAÇÃO DE TECNOLOGIA DO ACRE - FUNTAC;100;;
23050;FUNDAÇÃO HOSPITAL ESTADUAL DO ACRE - FUNDHACRE;100;;
23051;FUNDAÇÃO DE CULTURA ELIAS MANSOUR - FEM;100;;
23052;FUNDAÇÃO DO BEM-ESTAR SOCIAL - FUNBESA;100;;
23053;FUNDAÇÃO ESCOLA DO SERVIDOR PÚBLICO DO ESTADO DO ACRE - FESPAC;100;;
23054;"FUNDAÇÃO DE DESENVOLVIMENTO DE RECURSOS HUMANOS, DA CULTURA E DO DESPORTO DO ESTADO DO ACRE - FDRHCD";100;;
23055;FUNDAÇÃO DE APOIO AO DESENVOLVIMENTO ECONÔMICO E SOCIAL - FADES;100;;
23056;FUNDAÇÃO ALDEIA DE COMUNICAÇÃO DO ACRE - FUNDAC;100;;
23057;COMPANHIA DE ARMAZÉNS GERAIS E ENTREPOSTOS DO ACRE - CAGEACRE;100;;
23058;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DO ACRE - EMATER;100;;
23059;COMPANHIA DE DESENVOLVIMENTO INDUSTRIAL DO ESTADO DO ACRE - CODISACRE;100;;
23060;COMPANHIA DE COLONIZAÇÃO DO ACRE - COLONACRE;100;;
23061;COMPANHIA DE HABITAÇÃO DO ACRE - COHAB-AC;100;;
23062;COMPANHIA DE SANEAMENTO DO ACRE - SANACRE;100;;
23063;EMPRESA DE PROCESSAMENTO DE DADOS DO ACRE - ACREDATA;100;;
23064;COMPANHIA INDUSTRIAL DE LATICÍNIOS DO ACRE - CILA;100;;
23065;AGÊNCIA DE FOMENTO;100;;
23066;AGÊNCIA DE NEGÓCIOS DO ESTADO DO ACRE S.A - ANAC;100;;
23067;BANCO DO ESTADO DO ACRE S.A - BANACRE;100;;
23068;ADMINISTRADORA DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO DO ACRE - AZPE;100;;
23069;FUNDO ESTADUAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB ESTADUAL;100;;
23070;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL - PMAC;100;;
23071;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL - PCAC;100;;
23072;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL - CBMAC;100;;
23073;FUNDO ESTADUAL DE COMANDO E CONTROLE AMBIENTAL - FECCA;100;;
23074;FUNDO ESTADUAL DO DIREITO DA CRIANCA E DO ADOLESCENTE - FDCA;100;;
23075;FUNDES - FOLHA DE PESSOAL DA SAÚDE - SECRETARIA DE GESTÃO ADMINISTRATIVA;100;;
23076;FUNDES - GASTOS CORPORATIVOS - SECRETARIA DE ESTADO DA FAZENDA;100;;
23077;FUNDES - FUNDO ESTADUAL DE SAÚDE - SECRETARIA DE ESTADO DA SAÚDE;100;;
23078;FUNDO DE ASSISTÊNCIA SOCIAL - FEAS;100;;
23079;FUNDO DE ÁGUA E ESGOTO - FAE;100;;
23080;FUNDO AGROPECUÁRIO - FUNAGRO;100;;
23081;FUNDO DE AVAL;100;;
23082;FUNDO DE PESQUISA E PRESERVAÇÃO DE PAT. HIST. E CULTURA DO ACRE;100;;
23083;FUNDO DE DESENVOLVIMENTO SUSTENTÁVEL - FDS;100;;
23084;FUNDO DE DESENVOLVIMENTO ESTADUAL - FDE;100;;
23085;FUNDO ESTADUAL DE SEGURANÇA DOS MAGISTRADOS;100;;
23086;FUNDO ESPECIAL DO PODER JUDICIÁRIO;100;;
23087;FUNDO ESPECIAL P/INSTAL. APERF. D. DAS ATIV. DOS J.C.CRIMINAIS;100;;
23088;FUNDO DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO - FDCT;100;;
23089;FUNDO ESTADUAL DE DEFESA DOS DIREITOS DIFUSOS;100;;
23090;FUNDO ESTADUAL DE HABITAÇÃO - FEH;100;;
23091;FUNDO ORÇAMENTÁRIO ESPECIAL DE ESTUDOS JURÍDICOS - CEJUR;100;;
23092;FUNDO ESTADUAL DE FLORESTA DO ACRE;100;;
23093;FUNDO DE APOIO AO COOPERATIVISMO - FAC;100;;
23094;FUNDO DESENVOLVIMENTO DE RECURSO HUMANOS DO ESTADO DO ACRE;100;;
23096;FUNDO ESTADUAL DE MICRO CRÉDITO;100;;
23097;SECRETARIA DE ESTADO DE EMPREENDEDORISMO E TURISMO;100;;
23098;SECRETARIA DE ESTADO DE POLÍTICAS PARA MULHERES - SEPMULHERES;100;;
23099;FUNDO ESTADUAL DE FOMENTO A CULTURA;100;;
23100;FUNDO DE PREVIDENCIA SOCIAL DO ESTADO DO ACRE - FPS;100;;
23101;FUNDO ORÇAMENTÁRIO ESPECIAL DA ESCOLA SUPERIOR DA DEFENSORIA PÚBLICA - ESDPAC;100;;
23102;FUNDO DE PRESERVAÇÃO E DESENVOLVIMENTO DOS POVOS INDÍGENAS DO ACRE;100;;
23103;FUNDO ESPECIAL PARA A INSTALAÇÃO APARELHAMENTO APERFEIÇOAMENTO E DESENVOLVIMENTO DAS ATIVIDADES DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS - FUNAJE;100;;
23104;FUNDO ESPECIAL DE COMPENSAÇÃO - FECOM;100;;
23105;FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DO ACRE - FAPAC;100;;
23106;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL - SEDS;100;;
23107;AGENCIA DE NEGOCIOS DO ESTADO DO ACRE SA;100;;
23108;"SECRETARIA DE ESTADO DE INDÚSTRIA, CIÊNCIAS E TECNOLOGIA – SEICT";100;;
23109;FUNDO ESPECIAL DO CORPO DE BOMBEIRO;100;;
23110;FUNDO PENITENCIÁRIO DO ESTADO DO ACRE - FUNPENACRE;100;;
23111;GOVERNO DO ESTADO DO ACRE;100;;
23112;COMPANHIA AGÊNCIA DE DESENVOLVIMENTO E SERVIÇOS AMBIENTAIS DO ESTADO DO ACRE;100;;
23113;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL/SEJUSP;100;;
23114;INSTITUTO DE GESTÃO DE SAÚDE DO ACRE - IGESAC;100;;
23115;FUNDO ESPECIAL PARA O DESENVOLVIMENTO DA PRODUCAO E COMERCIALIZACAO DO ARTESANATO ACREANO - FUNCART;100;;
23116;REPRESENTAÇÃO DO GOVERNO EM BRASÍLIA – REPAC (ANTIGA);100;;
23117;FUNDO ESTADUAL DE SEGURANÇA - FUNDESEG;100;;
23118;FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DO ACRE - FUNEMP;100;;
23119;FUNDO ESTADUAL DE SEGURANÇA - FUNDESEG - POLÍCIA MILITAR;100;;
23120;FUNDO ESTADUAL DE SEGURANÇA - FUNDESEG - POLÍCIA CIVIL;100;;
24001;PREFEITURA - AMBIENTES DE TESTES - MULTITECH;166000;;
24002;CÂMARA - AMBIENTE DE TESTES - MULTITECH;166000;;
24003;PODER EXECUTIVO - AMBIENTE DE TESTES - DBSELLER;166000;;
24004;AMBIENTE DE TESTES - DBSELLER;166000;;
3001;PREFEITURA MUNICIPAL DE BRASILÉIA;1000;;
3002;CÂMARA MUNICIPAL DE BRASILÉIA;1000;;
3003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - BRASILÉIA;1000;;
3004;FUNDO MUNICIPAL DE SAÚDE - FMS - BRASILÉIA;1000;;
4001;PREFEITURA MUNICIPAL DE BUJARI;1100;;
4002;CÂMARA MUNICIPAL DE BUJARI;1100;;
4003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - BUJARI;1100;;
4004;FUNDO MUNICIPAL DE SAÚDE - FMS - BUJARI;1100;;
5001;PREFEITURA MUNICIPAL DE CAPIXABA;1200;;
5002;CÂMARA MUNICIPAL DE CAPIXABA;1200;;
5003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - CAPIXABA;1200;;
5004;FUNDO MUNICIPAL DE SAÚDE - FMS - CAPIXABA;1200;;
6001;PREFEITURA MUNICIPAL DE CRUZEIRO DO SUL;1300;;
6002;CÂMARA MUNICIPAL DE CRUZEIRO DO SUL;1300;;
6003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - CRUZEIRO DO SUL;1300;;
6004;FUNDO MUNICIPAL DE SAÚDE - FMS - CRUZEIRO DO SUL;1300;;
7001;PREFEITURA MUNICIPAL DE EPITACIOLÂNDIA;1400;;
7002;CÂMARA MUNICIPAL DE EPITACIOLÂNDIA;1400;;
7003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - EPITACIOLÂNDIA;1400;;
7004;FUNDO MUNICIPAL DE SAÚDE - FMS - EPITACIOLÂNDIA;1400;;
8001;PREFEITURA MUNICIPAL DE FEIJÓ;700;;
8002;CÂMARA MUNICIPAL DE FEIJÓ;700;;
8003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - FEIJÓ;700;;
8004;FUNDO MUNICIPAL DE SAÚDE - FMS - FEIJÓ;700;;
9001;PREFEITURA MUNICIPAL DE JORDÃO;1500;;
9002;CÂMARA MUNICIPAL DE JORDÃO;1500;;
9003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - JORDÃO;1500;;
9004;FUNDO MUNICIPAL DE SAÚDE - FMS - JORDÃO;1500;;
